MATRICULA;RAZON SOCIAL;MUN-COMERCIAL;EMAIL-COMERCIAL;CIIU-1;ACTIVIDAD
110656;DROGUERIA CRUZ VERDE CARTAGO CENTRO;76147 - CARTAGO;notificacionesjudiciales@cruzverde.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
110657;BELLA PIEL;76147 - CARTAGO;carlos.gereda@bellapiel.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al detal de productos de dermatología cosmética y medicamentos
110666;MAXI FARMACIAS ROLDANILLO;76622 - ROLDANILLO;oskaar.840@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados.
110680;COSMETICA NATURAL VIDASOF;76147 - CARTAGO;estebanluzadriana@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
110689;LOVELY C&N; YOPAL;natiip2010@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE MAQUILLAJE  ARTÍCULOS COSMÉTICOS Y DE TOCADOR
110700;DROGUERIA Y VARIEDADES BERLIN;76147 - CARTAGO;granada.laura@correounivalle.edu.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
11074;DROGUERIA HOSPITALARIA;76147 - CARTAGO;drog_hospitalaria@yahoo.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMÉTICOS Y ARTÍCULOS DE TOCADOR.
110748;TIENDA DE MAQUILLAJE PALO DE ROSA;27660 - SAN JOSE DE PALMAR;sokabrera@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA
110755;TIENDA NATURISTA CARIBE NATURAL;76147 - CARTAGO;mariaescalantevides@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;TIENDA NATURISTA
110813;SHAMPOO TRATAMIENTO 1;76147 - CARTAGO;vanessauricoechea2@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;FABRICACIÓN Y COMERCIALIZACIÓN DE PRODUCTOS ARTESANALES PARA EL CUIDADO CAPILAR  FACIAL Y CORPORAL
110830;DUKEFARMA;76400 - LA UNION;sebasduke629@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
110923;LA VIÑA PERFUMERIA;76147 - CARTAGO;nailazarate0123@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PERFUMES Y ACCESORIOS
110939;DROGUERIA HA-HIPERSALUD Nº 3;76147 - CARTAGO;drog_hospitalaria@yahoo.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
110942;GRUPO EMPRESARIAL TIENDA DE BELLEZA ANDREA;76147 - CARTAGO;flaca171@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS DE ASEO PERSONAL
110947;MATHIFARMA;76147 - CARTAGO;mathifarma@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
95338;TU SALUD SANTI;76147 - CARTAGO;tatirmb1112@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
110984;TIENDA NATURISTA MEDINAT ROLDANILLO;76622 - ROLDANILLO;medinat05@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador.
111052;SECRETO;76020 - ALCALA;tasanti22@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA Y COSMÉTICOS
111072;ANGEL ROUSE;76147 - CARTAGO;mazogarcialuis42@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA
111080;DROGUERIA Y MINIMERCADO SANTO REMEDIO CARTAGO;76147 - CARTAGO;msoto@qbix.us;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Compra y venta al por menor de medicamentos y minimercado
111142;ETERNIA PERFUMERO;76147 - CARTAGO;paulatrejos63@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;PERFUMERIA
111149;DROGUERIA VITAL ANSERMANUEVO;76041 - ANSERMANUEVO;poncejohn396@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados.
111211;PERFUMES SELENCS;76400 - LA UNION;perfumeselencs@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PERFUMERIA Y ACCESORIOS
111225;TIENDA NATURISTA SELVA NEGRA;76147 - CARTAGO;xiscomade@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados
111247;EL JARDIN DE LA SALUD EL AGUILA;76243 - EL AGUILA;jai2127pat@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;tienda naturista
111265;TU;76147 - CARTAGO;sandral.gomez@asesorsura.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Tienda de bienestar
111285;DERMAPIEL VIRTUAL;76622 - ROLDANILLO;fraibelrojas@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y Otros tipos de expendio de comidas preparadas n.c.p.
111305;TIENDA DEL BIENESTAR Y LA ESTETICA CARTAGO T.P.S;76147 - CARTAGO;tiendadelbienestarylaesteticat@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE INSUMOS PARA ESTETICAS
111329;DROGUERÍA SAN PEDRO LA UNIÓN #2;76400 - LA UNION;echeverrywillian1980@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
111362;DIVAS CHIC;76147 - CARTAGO;linamarcelagiraldoagudelo@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS COSMETICOS Y DE BELLEZA
111406;MARIA COSMETICS;76622 - ROLDANILLO;maria.cosmetics2022@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE COSMETICOS  ACCESORIOS  VARIEDADES A TRAVES DE INTERNET
111445;FRAGANCIAS ADONIS;76147 - CARTAGO;jhoinerpattej@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA  AL  DETAL DE FRAGANCIAS
111515;FARMACIA PONAL NO 14302009 CARTAGO;76147 - CARTAGO;notificacionesjudiciales@eticos.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos  medicinales  cosméticos y artículos de tocador
111517;FARMACIA PONAL NO 14302013 - ROLDANILLO;76622 - ROLDANILLO;notificacionesjudiciales@eticos.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos  medicinales  cosméticos y artículos de tocador
111569;TIENDA NATURISTA MEDINAT CARTAGO 2;76147 - CARTAGO;medinat05@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados.
111574;BELLEZA ENCANTADORA 2;76147 - CARTAGO;juliocesarballesteros2017@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
111583;PURO CBD;76147 - CARTAGO;nia.ocampo@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DISTRIBUIDORA DE PRODUCTOS A BASE DE CANABIS
111587;DROGUERIA COLSUBSIDIO D456 SIMON BOLIVAR;76147 - CARTAGO;servicioalcliente@colsubsidio.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmacéuticos y medicinales  en establecimientos especializados
111620;CBD GREEN;76147 - CARTAGO;cbdgreencolombia@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACION DE PRODUCTOS DERIVADOS DE CANABIS
11295;DROGUERIA HUMANITARIA;76041 - ANSERMANUEVO;drog_hospitalaria@outlook.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA PRODUCTOS FARMACEUTICOS  MEDICINALES Y ARTÍCULOS DE TOCADOR
11301;DROGUERIA DEL COMERCIO;76246 - EL CAIRO;glorme6416@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COMESTICOS Y ARTICULOS DE TOCADOR
12023;LA REBAJA PLUS MINIMARKET NRO. 1 CARTAGO;76147 - CARTAGO;copservir@copservir.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE PRODUCTOS FARMACÉUTICOS Y DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS.
12210;DROGUERIA SAN VICENTE;76041 - ANSERMANUEVO;drog_hospitalaria@yahoo.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS.
13437;DROGAS EL HOGAR;76400 - LA UNION;wiltongarcia17@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
14662;DROGAS SUPER EXITO; YOPAL;carexito91@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERÍA
17266;DROGUERIA EL HOGAR N.2;76400 - LA UNION;drogueriaelhogar2@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
17758;DROGAS LA ECONOMIA; YOPAL;drogaslaeconomia@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES. COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABELCIMIENTO ESPECIALIZADO  COMERCIO DE SURTIDO DIFERENTES DE ALIMENTOS Y BEBIDAS  COMERCIO DE ARTICULOS VARIOS
18851;DISTRIBUIDORA KARISMA;76147 - CARTAGO;torquejx@outlook.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
19215;DROGUERIA LA CUARTA;76147 - CARTAGO;c.bastian.r07@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS (DROGUERÍA)
19459;LA REBAJA DROGUERIA Y MINIMARKETS NO.1 ROLDANILLO;76622 - ROLDANILLO;copservir@copservir.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE PRODUCTOS FARMACÉUTICOS Y DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS.
21214;DROGUERIA LA INDEPENDENCIA;76147 - CARTAGO;leozapata70@yahoo.es;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES
22590;DROGUERIA LA 13;76147 - CARTAGO;cahuriga@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMÉTICOS Y ARTÍCULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
22648;DROGAS SUPER EXITO #1;76400 - LA UNION;davidsuperexito@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA.
23217;DROGUERIA SAN JOSE DE TORO; YOPAL;carloslinaluzpiter@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS
23493;DROGUERIA ALEMANA 243;76622 - ROLDANILLO;notificacionlegal@gropopular.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACION DE MEDICAMENTOS AL POR MENOR  COSMETICOS  PRODUCTOS DE TOCADOR Y OTROS
24181;DROGUIFAMILIAR; YOPAL;drogassuperexito01@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
25848;LA REBAJA PLUS MINIMARKET DROGUERIA NO 1 LA UNION;76400 - LA UNION;copservir@copservir.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE PRODUCTOS FARMACÉUTICOS Y DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS.
26339;TIENDA NATURISTA NATURE`S;76147 - CARTAGO;linamaria3680@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
26616;LA REBAJA DROGUERIA NO. 1 CARTAGO;76147 - CARTAGO;copservir@copservir.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE PRODUCTOS FARMACÉUTICOS Y DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
26622;DROGUERIA NOCHE Y DIA;76147 - CARTAGO;drog_hospitalaria@yahoo.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
26960;DROGAS SAN VICENTE DEL AGUILA;76243 - EL AGUILA;mg1465878@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
30225;DROGUERIA PROVEEDROGAS;76147 - CARTAGO;dorismora0627@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
30667;DROGUERIA SANTA CRUZ; YOPAL;juda-02@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERÍA
31811;SUPER DROGAS;76400 - LA UNION;jcdiaz05@outlook.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE MEDICAMENTOS PARA EL CONSUMO HUMANO
31994;DROGUERIA ALQUIMIA;76863 - VERSALLES;omaralquimia@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS
32249;DROGUERIA DESCUENTO MAS;76845 - ULLOA;luz.karime.duque@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERÍA
32403;CAFECENTRO;76622 - ROLDANILLO;wilsonvinasco18@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS FARMACEUTICOS  Y DE TOCADOR
3285;ALMACEN AGROPECUARIO;76147 - CARTAGO;zoo-clinicaveterinaria@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
32939;DROGAS CASTAÑO;76147 - CARTAGO;bernardodejesuslopez@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS (DROGUERIA)
33299;DISTRIBUIDORA BELLA IMAGEN;76622 - ROLDANILLO;amparobaena66@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS DE BELLEZA
33518;DROGUERIA PRINCIPAL;76400 - LA UNION;drogueriaprincipal1662@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADO
33562;DROGUERIA DROMEJOR;76020 - ALCALA;liniya7@yahoo.es;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA
33844;DROGUERIA EL AGUILA;76243 - EL AGUILA;daniela_rios_19@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
33859;TIENDA NATUROPATA VIDA ALTERNATIVA NRO.2;76400 - LA UNION;marilyn.rouse.ms@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
34156;DROGAS MULTIFAMILY;76147 - CARTAGO;yetaga73@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
34235;DROGUERIA CAMBULOS;76147 - CARTAGO;marialucellygomezgomez@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
34665;CENTRO NATURISTA DA-SALUD;76147 - CARTAGO;centronaturistada-salud@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
34692;DROGUERIA MARISCAL;76147 - CARTAGO;rigomedica@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE MEDICAMENTOS PARA CONSUMO HUMANO
35943;DROGAS SUPER EXITO # 3;76400 - LA UNION;drogassuperexito01@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
36932;TIENDA NATURISTA EL ANTURIO;76863 - VERSALLES;tiendanaturistaelanturio@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
36999;DROGUERIA COMUNITARIA URBANA DE VERSALLES VALLE;76863 - VERSALLES;boticave@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DISTRIBUCIÓN DE MEDICAMENTOS DEL RÉGIMEN SUBSIDIADO
37035;DROGAS LA SEPTIMA; YOPAL;drogaslaeconomia@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES. COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABELCIMIENTO ESPECIALIZADO  COMERCIO DE SURTIDO DIFERENTES DE ALIMENTOS Y BEBIDAS  COMERCIO DE ARTICULOS VARIOS
37355;DROGUERIA SANTA FE;76400 - LA UNION;ermigragra@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
37965;LA REBAJA DROGUERIA NO 3 CARTAGO;76147 - CARTAGO;copservir@copservir.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE PRODUCTOS FARMACÉUTICOS Y DE TOCADOR EN ESTABLECIMIENTOS ESPEICALIZADOS
38019;DROGAS OSPINA CARTAGO;76147 - CARTAGO;bettty78@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA
38424;DROGUERIA DEL CENTRO; YOPAL;leydilaurita@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE DROGAS PARA EL CONSUMO HUMANO  SERVICIO DE ODONTOLOGICO
38440;DROGUERIA SURTIDROGAS;76147 - CARTAGO;juliosurtidrogas@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
38484;DROGUERIA CRUZ VERDE PRADO CARTAGO;76147 - CARTAGO;notificacionesjudiciales@cruzverde.com.co;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR  DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMETICOS Y DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
38515;DROGUERIA SOLO DROGAS;76147 - CARTAGO;gpu_-69@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;DROGUERIA
